taxon,length,weight
Indotestudo elongata,30,3.5
Ptyas mucosus,175,0.9
Naja naja,125,4
Lissemys punctata,26,1.6
Hirudo medicinalis,,0.001
Scleractinia spp.,,
Seriatopora spp.,,
Varanus salvator,175,4
Hippocampus algiricus,,0.453
Cheilinus undulatus,125,180
Pelodiscus sinensis,33,2
Haliotis midae,,0.453
Anguilla anguilla,70,2
Scleropages formosus,90,11
Ophiophagus hannah,350,6
Candoia spp.,120,1.1
Mauremys reevesii,17,0.5
Huso dauricus x acipenser schrenckii,560,1000
Huso dauricus,,1000
Acipenser gueldenstaedtii,235,115
Acipenser schrenckii,300,190
Acipenseridae hybrid,,100
Acipenser baerii,,65
Mustela sibirica,30,0.6
Enhydris plumbea,40.5,0.5
Macaca mulatta,,6.56
Moschus spp.,90,12
